key,name,categories,value,unit
"('biosphere3', 'd439867e-7ef9-41aa-91e2-de8a922f9158')",Diethylene glycol,"('air', 'urban air close to ground')",3.354641026,kg O3 eq
"('biosphere3', 'edf9fe90-37ee-4d8b-af9b-2e959422abfd')",Dimethylamine,"('air', 'urban air close to ground')",3.173097436,kg O3 eq
"('biosphere3', 'e7e0031e-791d-42f4-b26c-ec322db637bc')",Ethane,"('air', 'non-urban air or from high stacks')",0.280646154,kg O3 eq
"('biosphere3', '8e30c990-5ed4-4f94-9d0e-2f5e4ff1a1f9')",Ethane,"('air',)",0.280646154,kg O3 eq
"('biosphere3', '9ea11aea-7cb7-4b38-b936-a42c2a4bac97')",Ethane,"('air', 'urban air close to ground')",0.280646154,kg O3 eq
"('biosphere3', '99585564-bfce-4845-9aaa-2f24b8f26a41')","Ethane, 1,1,1-trichloro-, HCFC-140","('air', 'non-urban air or from high stacks')",0.004879744,kg O3 eq
"('biosphere3', 'ce6294f5-2ed7-46ee-a967-33e265e34455')","Ethane, 1,1,1-trichloro-, HCFC-140","('air',)",0.004879744,kg O3 eq
"('biosphere3', '0d3ccb17-b3fe-4c08-b7cb-458ed3ababf1')",Ethanol,"('air', 'non-urban air or from high stacks')",1.525694872,kg O3 eq
"('biosphere3', 'd3f5d0b9-0155-4800-9dbb-b0583948c8c6')",Ethanol,"('air',)",1.525694872,kg O3 eq
"('biosphere3', '379a827c-3290-4810-9689-b9e892945836')",Ethanol,"('air', 'urban air close to ground')",1.525694872,kg O3 eq
"('biosphere3', '87f683ed-44ae-41a6-b4bc-230622f8cfef')",Ethene,"('air', 'non-urban air or from high stacks')",8.995025641,kg O3 eq
"('biosphere3', '9c2a7dc9-8b1f-46ba-bc16-0d761a4f6016')",Ethene,"('air',)",8.995025641,kg O3 eq
"('biosphere3', '36270548-9316-424b-9aeb-e0de134b0be1')",Ethene,"('air', 'urban air close to ground')",8.995025641,kg O3 eq
"('biosphere3', '754028fd-e650-4804-922e-694a764ba578')","Ethene, tetrachloro-","('air', 'non-urban air or from high stacks')",0.030845128,kg O3 eq
"('biosphere3', '9bc66656-9f37-44bc-ae0b-5d5243b8137e')","Ethene, tetrachloro-","('air',)",0.030845128,kg O3 eq
"('biosphere3', 'd2d4b344-3c58-4b0c-868a-ac0bdb2027dc')","Ethene, tetrachloro-","('air', 'urban air close to ground')",0.030845128,kg O3 eq
"('biosphere3', '41cce80a-82c1-4caa-b6ef-718ec4b83fd6')",Ethyl acetate,"('air', 'urban air close to ground')",0.626125641,kg O3 eq
"('biosphere3', '4569028c-d2d9-4937-bd92-44a6c72e2b1b')",Ethylamine,"('air', 'urban air close to ground')",5.781384615,kg O3 eq
"('biosphere3', 'ffa34df1-d949-48e3-b602-183eee5df605')",Ethylene glycol monoethyl ether,"('air', 'urban air close to ground')",3.709512821,kg O3 eq
"('biosphere3', '43a411aa-8f29-4744-bc56-1deaa8105338')",Ethylene oxide,"('air', 'non-urban air or from high stacks')",0.039169487,kg O3 eq
"('biosphere3', '4407dc37-09ec-4d52-b65a-9c3f0a88306d')",Ethylene oxide,"('air',)",0.039169487,kg O3 eq
"('biosphere3', '4446c2d0-1bc1-422f-9b97-0867d5602dbb')",Ethylene oxide,"('air', 'urban air close to ground')",0.039169487,kg O3 eq
"('biosphere3', 'e64254e3-07d3-4330-b6de-6a858f108124')",Ethyne,"('air', 'non-urban air or from high stacks')",0.954366667,kg O3 eq
"('biosphere3', '42a2f3e7-5393-4a69-9b0b-f70a9139ee24')",Ethyne,"('air',)",0.954366667,kg O3 eq
"('biosphere3', '1a13d6e7-45c9-427a-a3c9-38887ce7b86a')",Ethyne,"('air', 'urban air close to ground')",0.954366667,kg O3 eq
"('biosphere3', '9167dca7-615e-435c-8ba6-dbbf50e50e34')",Formaldehyde,"('air', 'non-urban air or from high stacks')",9.455846154,kg O3 eq
"('biosphere3', 'a861cfae-a310-4e9d-b9eb-5d555c9a684c')",Formaldehyde,"('air',)",9.455846154,kg O3 eq
"('biosphere3', '20664d0e-24e3-4daa-8c5c-2ade6e0c2723')",Formaldehyde,"('air', 'urban air close to ground')",9.455846154,kg O3 eq
"('biosphere3', 'e7f7fd97-a1c8-4be9-8a21-68ef06437d20')",Formic acid,"('air', 'non-urban air or from high stacks')",0.065995128,kg O3 eq
"('biosphere3', '2cbe35d9-052c-4fe8-8eb2-08769f10b2c7')",Formic acid,"('air', 'urban air close to ground')",0.065995128,kg O3 eq
"('biosphere3', '142ce3b0-4bd6-47a3-9991-7c657c947ffe')",Furan,"('air', 'non-urban air or from high stacks')",9.149615385,kg O3 eq
"('biosphere3', '284d6491-de2c-4124-95db-7732cbb5136c')",Furan,"('air',)",9.149615385,kg O3 eq
"('biosphere3', 'f4bb66f1-c78c-409f-8368-85c1205a3573')",Heptane,"('air', 'urban air close to ground')",1.074415385,kg O3 eq
"('biosphere3', '41067ac7-bf36-47ef-a19f-683d9b758a28')",Hexane,"('air', 'non-urban air or from high stacks')",1.24385641,kg O3 eq
"('biosphere3', '6b248529-b754-4be7-8b1a-91b9756fc2bc')",Hexane,"('air',)",1.24385641,kg O3 eq
"('biosphere3', '3bbc78d0-08c4-48ef-a863-704e32fddcb3')",Hexane,"('air', 'urban air close to ground')",1.24385641,kg O3 eq
"('biosphere3', 'bf633941-aa40-4c37-b361-b5cbfb1089f5')",Isoprene,"('air', 'non-urban air or from high stacks')",10.60682051,kg O3 eq
"('biosphere3', '0c209634-80bb-4909-8442-3189b7cb01d7')",Isoprene,"('air',)",10.60682051,kg O3 eq
"('biosphere3', '8c283de2-50d3-40c8-8bff-1e172c3398f8')","Methane, bromo-, Halon 1001","('air',)",0.018715641,kg O3 eq
"('biosphere3', 'd4b61c6c-a620-4a91-afc6-ca87ef97b55a')","Methane, dichloro-, HCC-30","('air', 'non-urban air or from high stacks')",0.041429231,kg O3 eq
"('biosphere3', '2716807d-0266-48ff-bb7a-6e6c5fbfd5c5')","Methane, dichloro-, HCC-30","('air', 'urban air close to ground')",0.041429231,kg O3 eq
"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')","Methane, fossil","('air', 'non-urban air or from high stacks')",0.014379487,kg O3 eq
"('biosphere3', '0795345f-c7ae-410c-ad25-1845784c75f5')","Methane, fossil","('air',)",0.014379487,kg O3 eq
